Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.29,-.05,-.37,-.13,-.02,-.78,-.47,-.29,-.16,-.11,-.04,.05,.65
1881,-.09,-.18,.00,-.35,.10,-.07,-.89,-.44,-.22,.09,.10,-.05,-.07,.57
1882,-.11,-.22,-.01,-.31,-.05,.01,-1.39,-.26,-.17,-.05,-.04,.01,.04,.61
1883,-.18,-.29,-.07,-.35,-.17,-.01,-.17,-.54,-.29,-.18,-.15,-.04,.07,.48
1884,-.28,-.43,-.15,-.60,-.15,-.15,-1.28,-.62,-.48,-.14,-.16,-.20,-.02,.63
1885,-.33,-.43,-.24,-.65,-.13,-.28,-1.49,-.67,-.47,-.07,-.20,-.34,-.15,.80
1886,-.31,-.43,-.20,-.57,-.20,-.22,-1.57,-.49,-.41,-.21,-.18,-.20,-.21,.57
1887,-.36,-.44,-.29,-.52,-.30,-.29,-1.75,-.50,-.30,-.29,-.30,-.28,-.26,.30
1888,-.17,-.23,-.12,-.42,.10,-.29,-1.29,-.42,-.26,.07,.14,-.31,-.23,.14
1889,-.10,-.17,-.04,-.29,.08,-.17,-.67,-.21,-.29,.02,.15,-.16,-.16,.43
1890,-.35,-.38,-.32,-.45,-.36,-.23,-1.11,-.54,-.28,-.27,-.46,-.18,-.28,.13
1891,-.22,-.25,-.19,-.43,-.07,-.22,-1.10,-.33,-.37,.02,-.16,-.18,-.24,-.18
1892,-.27,-.39,-.15,-.44,-.28,-.08,-1.13,-.65,-.18,-.31,-.26,.02,-.22,.07
1893,-.31,-.47,-.16,-.52,-.36,-.05,-.68,-.55,-.48,-.40,-.31,.07,-.21,-.06
1894,-.31,-.39,-.24,-.32,-.36,-.24,-.93,-.32,-.19,-.48,-.23,-.15,-.35,-.40
1895,-.23,-.30,-.16,-.40,-.08,-.26,-.66,-.52,-.28,-.14,-.02,-.20,-.32,-.60
1896,-.11,-.19,-.03,-.35,.11,-.15,-.86,-.36,-.23,.07,.15,-.15,-.14,.23
1897,-.11,-.16,-.05,-.35,.18,-.23,-.54,-.46,-.25,.15,.21,-.19,-.28,.38
1898,-.27,-.28,-.26,-.35,-.21,-.26,-1.15,-.23,-.24,-.18,-.25,-.27,-.21,.36
1899,-.18,-.21,-.14,-.25,-.11,-.19,-1.05,-.10,-.16,-.15,-.08,-.15,-.22,.56
1900,-.08,-.08,-.06,-.21,.18,-.30,-.56,-.15,-.16,.11,.26,-.28,-.29,.25
1901,-.16,-.13,-.18,-.16,-.04,-.30,-.39,-.11,-.15,-.06,-.02,-.27,-.34,.24
1902,-.27,-.32,-.22,-.52,-.03,-.35,-1.30,-.51,-.33,-.02,-.05,-.28,-.43,-.07
1903,-.36,-.37,-.36,-.46,-.28,-.38,-.19,-.42,-.56,-.24,-.32,-.35,-.40,-.50
1904,-.46,-.48,-.45,-.50,-.45,-.44,-.14,-.59,-.55,-.43,-.47,-.37,-.49,-1.32
1905,-.26,-.29,-.22,-.41,-.08,-.36,-.05,-.22,-.63,-.12,-.03,-.32,-.37,-.34
1906,-.22,-.24,-.20,-.26,-.18,-.23,-.25,-.06,-.40,-.21,-.15,-.20,-.23,-.71
1907,-.38,-.48,-.29,-.59,-.29,-.29,-.58,-.72,-.53,-.31,-.28,-.21,-.37,-1.20
1908,-.42,-.46,-.39,-.49,-.43,-.36,-.24,-.54,-.52,-.42,-.43,-.28,-.48,.67
